Reference Company,Security Description,Trade Date,Ask,Bid,Close
AUD1YO=R,Australian Dollar/US Dollar 1 Year ATM Option,12/4/20,9.512,9.212,9.362
AUD1YO=R,Australian Dollar/US Dollar 1 Year ATM Option,12/7/20,9.675,9.225,9.45
AUD1YO=R,Australian Dollar/US Dollar 1 Year ATM Option,12/8/20,9.575,9.275,9.425
AUD1YO=R,Australian Dollar/US Dollar 1 Year ATM Option,12/9/20,9.525,9.225,9.375
AUD1YO=R,Australian Dollar/US Dollar 1 Year ATM Option,12/10/20,9.563,9.262,9.413
AUD1YO=R,Australian Dollar/US Dollar 1 Year ATM Option,12/11/20,9.725,9.475,9.6
AUD1YO=R,Australian Dollar/US Dollar 1 Year ATM Option,12/14/20,9.75,9.35,9.55
AUD1YO=R,Australian Dollar/US Dollar 1 Year ATM Option,12/15/20,9.725,9.425,9.575
AUD1YO=R,Australian Dollar/US Dollar 1 Year ATM Option,12/16/20,9.688,9.337,9.512
AUD1YO=R,Australian Dollar/US Dollar 1 Year ATM Option,12/17/20,9.663,9.363,9.513
AUD1YO=R,Australian Dollar/US Dollar 1 Year ATM Option,12/18/20,9.665,9.315,9.49
AUD1YO=R,Australian Dollar/US Dollar 1 Year ATM Option,12/21/20,9.825,9.525,9.675
AUD1YO=R,Australian Dollar/US Dollar 1 Year ATM Option,12/22/20,9.9,9.5,9.7
AUD1YO=R,Australian Dollar/US Dollar 1 Year ATM Option,12/23/20,9.8,9.5,9.65
AUD1YO=R,Australian Dollar/US Dollar 1 Year ATM Option,12/24/20,9.65,9.35,9.5
AUD1YO=R,Australian Dollar/US Dollar 1 Year ATM Option,12/25/20,9.7,9.3,9.5
AUD1YO=R,Australian Dollar/US Dollar 1 Year ATM Option,12/28/20,9.775,9.275,9.525
AUD1YO=R,Australian Dollar/US Dollar 1 Year ATM Option,12/29/20,9.7,9.4,9.55
AUD1YO=R,Australian Dollar/US Dollar 1 Year ATM Option,12/30/20,9.775,9.425,9.6
AUD2YO=R,Australian Dollar/US Dollar 2 Year ATM Option,11/30/20,9.75,9.25,9.5
AUD2YO=R,Australian Dollar/US Dollar 2 Year ATM Option,12/1/20,9.675,9.275,9.475
AUD2YO=R,Australian Dollar/US Dollar 2 Year ATM Option,12/2/20,9.7,9.25,9.475
AUD2YO=R,Australian Dollar/US Dollar 2 Year ATM Option,12/3/20,9.725,9.325,9.525
AUD2YO=R,Australian Dollar/US Dollar 2 Year ATM Option,12/4/20,9.7,9.25,9.475
AUD2YO=R,Australian Dollar/US Dollar 2 Year ATM Option,12/7/20,9.825,9.375,9.6
AUD2YO=R,Australian Dollar/US Dollar 2 Year ATM Option,12/8/20,9.725,9.275,9.5
AUD2YO=R,Australian Dollar/US Dollar 2 Year ATM Option,12/9/20,9.65,9.35,9.5
AUD2YO=R,Australian Dollar/US Dollar 2 Year ATM Option,12/10/20,9.7,9.3,9.5
AUD2YO=R,Australian Dollar/US Dollar 2 Year ATM Option,12/11/20,9.825,9.425,9.625
AUD2YO=R,Australian Dollar/US Dollar 2 Year ATM Option,12/14/20,9.863,9.413,9.638
AUD2YO=R,Australian Dollar/US Dollar 2 Year ATM Option,12/15/20,9.875,9.475,9.675
AUD2YO=R,Australian Dollar/US Dollar 2 Year ATM Option,12/16/20,9.825,9.425,9.625
AUD2YO=R,Australian Dollar/US Dollar 2 Year ATM Option,12/17/20,9.8,9.4,9.6
AUD2YO=R,Australian Dollar/US Dollar 2 Year ATM Option,12/18/20,9.8,9.4,9.6
AUD2YO=R,Australian Dollar/US Dollar 2 Year ATM Option,12/21/20,9.925,9.525,9.725
AUD2YO=R,Australian Dollar/US Dollar 2 Year ATM Option,12/22/20,10.075,9.525,9.8
AUD2YO=R,Australian Dollar/US Dollar 2 Year ATM Option,12/23/20,9.95,9.45,9.7
AUD2YO=R,Australian Dollar/US Dollar 2 Year ATM Option,12/24/20,9.85,9.35,9.6
AUD2YO=R,Australian Dollar/US Dollar 2 Year ATM Option,12/25/20,9.95,9.2,9.575
AUD2YO=R,Australian Dollar/US Dollar 2 Year ATM Option,12/28/20,9.975,9.225,9.6
AUD2YO=R,Australian Dollar/US Dollar 2 Year ATM Option,12/29/20,9.9,9.4,9.65
AUD2YO=R,Australian Dollar/US Dollar 2 Year ATM Option,12/30/20,10.1,9.35,9.725
AUD10PSW=R,Australian Dollar/US Dollar Spot Week 10 Delta Put,11/30/20,12.437,8.587,10.512
AUD10PSW=R,Australian Dollar/US Dollar Spot Week 10 Delta Put,12/1/20,11.093,8.694,9.894
AUD10PSW=R,Australian Dollar/US Dollar Spot Week 10 Delta Put,12/2/20,11.515,9.115,10.315
AUD10PSW=R,Australian Dollar/US Dollar Spot Week 10 Delta Put,12/3/20,11.734,9.334,10.534
AUD10PSW=R,Australian Dollar/US Dollar Spot Week 10 Delta Put,12/4/20,11.512,9.112,10.312
AUD10PSW=R,Australian Dollar/US Dollar Spot Week 10 Delta Put,12/7/20,11.871,9.471,10.671
AUD10PSW=R,Australian Dollar/US Dollar Spot Week 10 Delta Put,12/8/20,11.498,9.098,10.298
